"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\.programering\inteligent systems\dataCollection.py", "Python", 33, 0, 2, 4, 39
"c:\.programering\inteligent systems\del opgaver.ipynb", "JSON", 0, 775, 0, 1, 776
"c:\.programering\inteligent systems\delOpgaver\Del1.py", "Python", 20, 0, 7, 3, 30
"c:\.programering\inteligent systems\delOpgaver\Del2.py", "Python", 3, 0, 0, 1, 4
"c:\.programering\inteligent systems\delOpgaver\Del3.py", "Python", 3, 0, 0, 1, 4
"c:\.programering\inteligent systems\delOpgaver\Del4.py", "Python", 3, 0, 0, 1, 4
"c:\.programering\inteligent systems\delOpgaver\Del5.py", "Python", 3, 0, 0, 2, 5
"c:\.programering\inteligent systems\knn\distanceStorage.py", "Python", 9, 0, 0, 3, 12
"c:\.programering\inteligent systems\knn\knn.py", "Python", 117, 0, 37, 29, 183
"c:\.programering\inteligent systems\knn\testKNN.py", "Python", 97, 0, 0, 16, 113
"c:\.programering\inteligent systems\plotingTools\colorList.py", "Python", 133, 0, 0, 2, 135
"c:\.programering\inteligent systems\plotingTools\plotter.py", "Python", 145, 0, 26, 13, 184
"c:\.programering\inteligent systems\plotingTools\point.py", "Python", 59, 0, 0, 12, 71
"c:\.programering\inteligent systems\plotingTools\randomData.py", "Python", 10, 0, 0, 2, 12
"c:\.programering\inteligent systems\runDel.py", "Python", 5, 0, 0, 0, 5
"c:\.programering\inteligent systems\test.ipynb", "JSON", 0, 211, 0, 1, 212
"c:\.programering\inteligent systems\test.py", "Python", 10, 0, 3, 4, 17
"Total", "-", 650, 986, 75, 95, 1806